Player,Fiend,Wesley,Power Ranger,Lopes,StarDeath,B A L T A Z Z A R,Emperor,Okami,gabrielwe33,LX,DB,Steve,Yuki,Vecinaa,SSJ | Brollyyy,Rec,Ailzo '-',Klaus,Pajé,Chazar,Sayan,Atsushi,Monexo,Myoto,DRT-V3M_T4NQUIL0,UchihaSasuke,Genjitsu,JuniorMoraes13,V Solotov,DRT-Reaper-_-Black,Ryan,¥ | Zé do Queijo,Danol,104Z,Neeko,NEW SAC,Kyna,Major,nchmrtnz,Cimuh,Thaiph,kaio bolinha,Brook (2),QwerTy,Guga,Joakoooo,wrath,Ender,Shinigami,Steyr,Knoi,bionico,Leite,Dexterrr,vapo do mundo,Luxray,serretti,Vy,Crítico,Legit,ralsei,LendarioPolar,j3king,Metsu,-theking-,LLG_Diniz,Henrī,Lazuli,RenzoCPC,Fanshine,benjaki24,Vooltex,n0oB,Cayden,LorKy,Darkinho,Yassuo,ShiniMidori,Naza,Yukkin.,Gxx,Dynamis96,KnG-_Nauu234,Snaker306,mole420,LCSCEREALKILLER,Bocudo,crow (2),Yukkiteru,Juangana,Azasuh,robsonaf,Death??,fridge,REcolate,Revenger Beast,Yatin,villote,WomboBR,Luffy,Trunkksss,SpotifyTrevoso,Hoiks,Alecs,Capitan Genial,King Juaum,heiomarinho348,Neuz,Hawk,Subaru,Lauta,SteelMel,Zarid,myovin,Juani2004,Atsui,Lain,Jm,P.V player,Etizzes,Rayzigher,sloweed,Guirv,Shishio,SansBrabo,Joaquin1967,Themandiga,Sky (2),ZombieHunter123,Fnthon,Kanai,ThePinguin0,Andrext,HypeZin,GameesFlowers,suntanthequeip,Nocivee q,Mushu,LucassTatto,MATIBL3ND,MAGO,R̶øck,KNJ,Beterraba47,Eike,PParroTT,Agusda,TioJão,BreguiFremi,guiguiplay2,joaopaulo10_7,isculanusflaus,Lutti,MB,Bigoda,Martínfc03,BallOwOn,RaFinhAxhx,Cage,Catto Unreal,UltimateGamer,Dr. Riblack,El Fachipiola,Nocwel,sup3rbi3l,DarkGhostPedro,kelvinsuarez88,NiceGuy,t r i c c,CachuElCrack,Odiltonjr,Ginuwine120,REY_DRAGÓN-24,Guido,jxn3310,Anden,vladicvc,Mdiniz,Demen7z6odz,Noenri,Icczy,chakra,oberom,Mafebra3,fesomago,Tekilavale,kira102,Askellad,Acharned,G4LVEZ,will,LordV17,EdvanJr,viniccius,Caio,hridz2005,TrinityBlack1875,Lucas Netop gostoso
Brawlhalla Spring Championship 2020 SA 1v1 - 4/12/2020 - 13 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,1,2,3,5,4,5,7,7,13,9,9,17,13,9,17,25,13,17,9,25,17,33,33,25,25,17,17,13,17,49,33,25,,,17,25,25,33,,,25,33,49,65,129,97,33,49,33,33,33,49,49,49,65,65,65,65,97,33,33,33,97,,33,129,65,129,65,33,49,65,,257,129,65,49,33,65,97,,97,33,97,65,,,,97,193,,,65,65,49,49,65,97,,129,,65,65,,49,65,49,49,,129,129,,193,,193,65,129,,97,65,65,65,97,,97,97,193,97,,,,129,97,97,,193,,97,,97,65,,,97,,,129,129,129,,97,97,,257,,65,129,65,,49,,65,65,97,65,97,129,65,,129,65,129,,129,,257,193,129,,65,193,129,257,129,129,,129,129,,,65,129,129,129,49,97,129,193
Points from place,110,80,70,50,60,50,40,40,24,28,28,20,24,28,20,16,24,20,28,16,20,4,4,16,16,20,20,24,20,4,4,16,,,20,16,16,4,,,16,4,4,2,1,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,2,,4,1,2,1,2,4,4,2,,1,1,2,4,4,2,2,,2,4,2,2,,,,2,1,,,2,2,4,4,2,2,,1,,2,2,,4,2,4,4,,1,1,,1,,1,2,1,,2,2,2,2,2,,2,2,1,2,,,,1,2,2,,1,,2,,2,2,,,2,,,1,1,1,,2,2,,1,,2,1,2,,4,,2,2,2,2,2,1,2,,1,2,1,,1,,1,1,1,,2,1,1,1,1,1,,1,1,,,2,1,1,1,4,2,1,1
Wins (opponent seed),[2 2 4],[1 6 10],[3 5 6],[10 14 19],[3 5 11],[11 12 21],[7 8 23],[7 9 15],[26 30 58],[16 29 249],[8 24 25],[28 43 54],[17 22 241],[14 17 22],[20 30 115],[52 68 141],[26 275 366],[20 148 276],[12 13 23],[146 146 239],[19 29 52],[32 145 240],[95 111 242],[41 152 233],[15 31 95],[15 18 50],[17 31 64],[32 44 76],[23 24 26],[54 59 278],[71 234 362],[35 62 115],,,[18 33 176],[41 56 184],[156 293 348],[32 96 224],,,[27 43 86],[35 227 355],[228 356 484],[231 410 487],[104 488 489],[229 332 485],[29 61 77],[88 216 248],[61 77 269],[38 299 406],[71 151 314],[222 350 478],[32 49 112],[60 204 229],[85 213 469],[287 415 482],[25 137 201],[225 416 481],[141 212 292],[53 332 396],[27 38 230],[28 44 92],[190 195 307],,[30 51 179],[65 305 320],[294 422 475],[296 473],[75 310 459],[56 57 200],[78 99 158],[125 196 276],,[261],[302 467],[84 132 148],[183 186 298],[31 111 191],[316 444 453],[152 312 440],,[104 153 184],[25 232 345],[21 92 245],[28 101 357],,,,[21 277 437],[319 463],,,[45 180 413],[62 110 238],[57 88 136],[26 151 186],[46 51 126],[50 66 79],,[195 451],,[59 70 187],[46 83 174],,[93 116 244],[40 89 168],[86 118 214],[64 112 273],,[100 365 493],[320 449],,[134 395],,[336 448],[72 105 185],[182 438],,[48 128 176],[74 122 247],[142 179 222],[45 84 301],[327 410 439],,[96 113 241],[107 150 187],[203 315],[127 130 175],,,,[206 323 435],[82 127 258],[121 136 169],,[102 150],,[75 155 235],,[102 155 182],[49 208 433],,,[87 215 218],,,[181 204 325],[97 353],[101 236 284],,[142 243 254],[170 215 218],,[72 536],,[79 178 287],[333 445 452],[91 139 347],,[194 322 335],,[40 265 360],[82 210 466],[126 131 302],[80 177 369],[113 144 432],[106 154 234],[159 194 239],,[99 227 238],[117 140 501],[173 212 221],,[48 209],,[98],[203 315],[173 429],,[74 311 330],[47 223],[66 178 450],[21],[123 134],[87 170],,[119 138],[124 133],,,[106 231 295],[110 147],[90 167],[69 188],[165 277 284],[157 180 413],[189 196 205],[114 130]
Points from wins,25.556 [8.889+8.889+7.778],23.437 [10+7.128+6.309],22.787 [8.239+7.42+7.128],17.359 [6.309+5.77+5.28],21.815 [8.239+7.42+6.156],17.293 [6.156+6.017+5.12],18.521 [6.881+6.667+4.974],19.018 [6.881+6.478+5.659],12.816 [4.777+4.548+3.491],11.313 [5.556+4.602+1.156],16.412 [6.667+4.906+4.84],12.235 [4.658+3.971+3.606],11.711 [5.458+5.045+1.208],16.273 [5.77+5.458+5.045],12.14 [5.198+4.548+2.394],8.969 [3.666+3.236+2.067],4.777 [4.777+0+0],7.187 [5.198+1.989+0],16.879 [6.017+5.888+4.974],5.244 [2.011+2.011+1.221],13.549 [5.28+4.602+3.666],7.681 [4.444+2.022+1.215],6.352 [2.7+2.451+1.201],7.256 [4.047+1.947+1.262],12.855 [5.659+4.495+2.7],14.755 [5.659+5.367+3.729],13.287 [5.458+4.495+3.333],11.436 [4.444+3.934+3.058],14.657 [4.974+4.906+4.777],7.069 [3.606+3.464+0],4.422 [3.167+1.255+0],10.079 [4.301+3.384+2.394],,,11.474 [5.367+4.395+1.712],9.235 [4.047+3.547+1.64],1.905 [1.905+0+0],8.453 [4.444+2.683+1.325],,,11.547 [4.717+3.971+2.86],5.605 [4.301+1.304+0],1.297 [1.297+0+0],1.276 [1.276+0+0],2.555 [2.555+0+0],1.29 [1.29+0+0],11.049 [4.602+3.41+3.037],5.368 [2.823+1.383+1.162],6.447 [3.41+3.037+0],4.169 [4.169+0+0],5.124 [3.167+1.957+0],1.34 [1.34+0+0],10.642 [4.444+3.761+2.436],6.202 [3.437+1.475+1.29],4.284 [2.878+1.406+0],0,8.452 [4.84+2.113+1.499],1.318 [1.318+0+0],3.481 [2.067+1.413+0],3.636 [3.636+0+0],10.169 [4.717+4.169+1.283],11.344 [4.658+3.934+2.752],3.136 [1.589+1.547+0],,9.93 [4.548+3.697+1.685],3.308 [3.308+0+0],0,0,3.079 [3.079+0+0],8.573 [3.547+3.519+1.507],7.535 [3.016+2.634+1.885],3.799 [2.26+1.539+0],,0,0,7.06 [2.897+2.173+1.989],3.272 [1.649+1.623+0],8.527 [4.495+2.451+1.581],0,1.947 [1.947+0+0],,6.132 [2.555+1.936+1.64],6.109 [4.84+1.269+0],9.053 [5.12+2.752+1.182],7.26 [4.658+2.602+0],,,,5.12 [5.12+0+0],0,,,5.574 [3.898+1.676+0],7.077 [3.384+2.465+1.228],8.467 [3.519+2.823+2.125],8.358 [4.777+1.957+1.623],9.807 [3.863+3.697+2.247],10.009 [3.729+3.284+2.996],,1.547 [1.547+0],,8.268 [3.464+3.19+1.615],8.509 [3.863+2.917+1.73],,6.302 [2.734+2.38+1.188],8.678 [4.087+2.805+1.786],6.611 [2.86+2.353+1.398],5.77 [3.333+2.436+0],,2.618 [2.618+0+0],0,,2.149 [2.149+0],,0,7.316 [3.145+2.54+1.632],1.658 [1.658+0],,7.728 [3.794+2.222+1.712],6.568 [3.101+2.299+1.168],5.08 [2.056+1.685+1.34],6.795 [3.898+2.897+0],0,,6.313 [2.683+2.422+1.208],6.092 [2.509+1.968+1.615],1.483 [1.483+0],6.153 [2.235+2.197+1.721],,,,1.459 [1.459+0+0],5.171 [2.936+2.235+0],6.214 [2.312+2.125+1.777],,4.554 [2.586+1.968],,6.243 [3.079+1.915+1.248],,6.16 [2.586+1.915+1.658],5.205 [3.761+1.444+0],,,5.601 [2.841+1.391+1.369],,,3.142 [1.667+1.475+0],2.667 [2.667+0],3.843 [2.602+1.242+0],,4.374 [2.056+1.195+1.124],4.527 [1.767+1.391+1.369],,3.145 [3.145+0],,4.689 [2.996+1.694+0],0,4.859 [2.769+2.09+0],,1.556 [1.556+0+0],,4.087 [4.087+0+0],4.365 [2.936+1.429+0],4.433 [2.247+2.185+0],4.678 [2.976+1.703+0],4.455 [2.422+2.033+0],5.705 [2.525+1.926+1.255],4.651 [1.875+1.556+1.221],,5.166 [2.634+1.304+1.228],4.445 [2.366+2.079+0],4.499 [1.739+1.413+1.347],,5.231 [3.794+1.436],,2.65,1.483 [1.483+0],1.739 [1.739+0],,3.101 [3.101+0+0],5.161 [3.828+1.332],4.978 [3.284+1.694+0],5.12,4.435 [2.286+2.149],4.609 [2.841+1.767],,4.441 [2.339+2.102],4.434 [2.273+2.161],,,3.8 [2.525+1.276+0],4.466 [2.465+2],4.583 [2.787+1.796],4.819 [3.213+1.606],1.815 [1.815+0+0],3.571 [1.895+1.676+0],4.604 [1.598+1.539+1.467],4.605 [2.408+2.197]
Losses (opponent place),[2],[1 1],[1 1],[3 4],[3 2],[4 3],[5 2],[5 97],[7 7],[7 9],[7 1],[13 9],[9 1],[5 4],[13 33],[17 17],[9 5],[9 3],[5 7],[17 17],[9 3],[17 13],[25 17],[17 9],[17 2],[7 2],[9 1],[9 5],[13 13],[25 33],[17 9],[17 5],,,[13 33],[9 9],[17 5],[17 1],,,[7 9],[17 5],[33 17],[49 17],[65 33],[33 65],[25 3],[25 25],[17 25],[17 25],[9 13],[25 33],[17 33],[7 33],[33 13],[33 25],[33 25],[49 33],[65 65],[7 13],[25 4],[25 25],[65 33],,[25 13],[49 65],[33 33],[65 65],[49 17],[25 9],[17 33],[33 33],,[7 5],[65 65],[49 25],[33 33],[25 25],[49 5],[49 33],,[65 33],[25 9],[49 65],[7 25],,,,[7 13],[97 17],,,[33 33],[17 13],[33 65],[33 33],[49 17],[49 257],,[65 25],,[49 4],[49 13],,[33 25],[49 33],[33 33],[17 33],,[65 97],[49 17],,[129 129],,[129 17],[25 33],[97 65],,[49 97],[33 13],[25 17],[49 17],[65 65],,[65 1],[33 9],[129 65],[65 2],,,,[49 97],[33 2],[65 9],,[49 193],,[49 33],,[65 33],[49 13],,,[65 17],,,[97 33],[65 65],[49 97],,[49 5],[49 9],,[129 257],,[49 17],[97 65],[25 65],,[33 2],,[49 9],[49 25],[65 5],[17 65],[65 13],[49 49],[33 33],,[97 13],[49 33],[97 65],,[97 17],,[65 193],[129 129],[65 65],,[49 7],[129 65],[33 49],[129 257],[97 4],[97 9],,[97 7],[97 5],,,[33 49],[97 13],[65 17],[49 65],[33 97],[49 49],[97 33],[129 97]
Points from losses,16,16.2,16.2,9.8,11.2,9.8,9.6,0.6,7.2,6,10.8,5,9,8.4,1,2.45,6,7,7.2,2.45,7,3.5,2.45,3.5,5.6,9.6,9,6,5,0.7,3.5,4.2,,,1,5,4.2,6.3,,,6,4.2,0.7,0.7,0.1,0.1,4.9,2.45,2.45,2.45,5,0.7,0.7,1.2,1,0.7,0.7,0.2,0.05,6,4.9,2.45,0.1,,3.5,0.1,0.2,0.05,0.7,3.5,0.7,0.2,,7.2,0.05,0.7,0.2,2.45,1.2,0.2,,0.1,3.5,0.1,4.2,,,,6,0.35,,,0.2,3.5,0.1,0.2,0.7,0.1,,0.35,,1.4,1,,0.7,0.2,0.2,0.7,,0.05,0.7,,0.05,,0.35,0.7,0.05,,0.1,1,2.45,0.7,0.05,,0.9,1,0.05,0.8,,,,0.1,1.6,0.5,,0.1,,0.2,,0.1,1,,,0.35,,,0.1,0.05,0.1,,1.2,1,,0.05,,0.7,0.05,0.35,,1.6,,1,0.7,0.6,0.35,0.5,0.2,0.2,,0.5,0.2,0.05,,0.35,,0.05,0.05,0.05,,1.2,0.05,0.2,0.05,0.7,0.5,,0.6,0.6,,,0.2,0.5,0.35,0.1,0.1,0.2,0.1,0.05
Base total,151.556,119.637,108.987,77.159,93.015,77.093,68.121,59.618,44.016,45.313,55.212,37.235,44.711,52.673,33.14,27.419,34.777,34.187,52.079,23.694,40.549,15.181,12.802,26.756,34.455,44.355,42.287,41.436,39.657,11.769,11.922,30.279,,,32.474,30.235,22.105,18.753,,,33.547,13.805,5.997,3.976,3.655,3.39,19.949,11.818,12.897,10.619,14.124,6.04,15.342,11.402,7.284,2.7,11.152,3.518,5.531,13.636,19.069,17.794,5.236,,17.43,4.408,2.2,1.05,5.779,16.073,12.235,5.999,,8.2,1.05,9.76,7.472,14.977,3.2,4.147,,8.232,13.609,11.153,13.46,,,,13.12,1.35,,,7.774,12.577,12.567,12.558,12.507,12.109,,2.897,,11.668,11.509,,11.002,10.878,10.811,10.47,,3.668,1.7,,3.199,,1.35,10.016,2.708,,9.828,9.568,9.53,9.495,2.05,,9.213,9.092,2.533,8.953,,,,2.559,8.771,8.714,,5.654,,8.443,,8.26,8.205,,,7.951,,,4.242,3.717,4.943,,7.574,7.527,,4.195,,7.389,1.05,7.209,,7.156,,7.087,7.065,7.033,7.028,6.955,6.905,6.851,,6.666,6.645,5.549,,6.581,,3.7,2.533,2.789,,6.301,6.211,6.178,6.17,6.135,6.109,,6.041,6.034,,,6,5.966,5.933,5.919,5.915,5.771,5.704,5.655
Points after weight (1 => x1),151.556,119.637,108.987,77.159,93.015,77.093,68.121,59.618,44.016,45.313,55.212,37.235,44.711,52.673,33.14,27.419,34.777,34.187,52.079,23.694,40.549,15.181,12.802,26.756,34.455,44.355,42.287,41.436,39.657,11.769,11.922,30.279,,,32.474,30.235,22.105,18.753,,,33.547,13.805,5.997,3.976,3.655,3.39,19.949,11.818,12.897,10.619,14.124,6.04,15.342,11.402,7.284,2.7,11.152,3.518,5.531,13.636,19.069,17.794,5.236,,17.43,4.408,2.2,1.05,5.779,16.073,12.235,5.999,,8.2,1.05,9.76,7.472,14.977,3.2,4.147,,8.232,13.609,11.153,13.46,,,,13.12,1.35,,,7.774,12.577,12.567,12.558,12.507,12.109,,2.897,,11.668,11.509,,11.002,10.878,10.811,10.47,,3.668,1.7,,3.199,,1.35,10.016,2.708,,9.828,9.568,9.53,9.495,2.05,,9.213,9.092,2.533,8.953,,,,2.559,8.771,8.714,,5.654,,8.443,,8.26,8.205,,,7.951,,,4.242,3.717,4.943,,7.574,7.527,,4.195,,7.389,1.05,7.209,,7.156,,7.087,7.065,7.033,7.028,6.955,6.905,6.851,,6.666,6.645,5.549,,6.581,,3.7,2.533,2.789,,6.301,6.211,6.178,6.17,6.135,6.109,,6.041,6.034,,,6,5.966,5.933,5.919,5.915,5.771,5.704,5.655
Final points after recency (x0.997163801932708),151.126,119.297,108.678,76.94,92.751,76.874,67.928,59.449,43.891,45.185,55.056,37.129,44.585,52.524,33.046,27.342,34.679,34.09,51.931,23.627,40.433,15.138,12.766,26.68,34.357,44.229,42.167,41.319,39.544,11.736,11.888,30.193,,,32.382,30.149,22.042,18.7,,,33.452,13.765,5.98,3.965,3.645,3.38,19.893,11.785,12.861,10.589,14.084,6.022,15.299,11.369,7.264,2.692,11.121,3.508,5.515,13.597,19.014,17.744,5.222,,17.38,4.396,2.194,1.047,5.763,16.028,12.2,5.982,,8.177,1.047,9.732,7.451,14.934,3.191,4.135,,8.208,13.57,11.121,13.422,,,,13.082,1.346,,,7.752,12.542,12.531,12.522,12.472,12.075,,2.889,,11.635,11.477,,10.971,10.847,10.78,10.44,,3.658,1.695,,3.19,,1.346,9.988,2.7,,9.801,9.541,9.503,9.468,2.044,,9.187,9.066,2.526,8.928,,,,2.552,8.746,8.69,,5.638,,8.419,,8.236,8.182,,,7.928,,,4.23,3.706,4.929,,7.553,7.506,,4.183,,7.368,1.047,7.189,,7.135,,7.067,7.045,7.013,7.008,6.936,6.886,6.832,,6.647,6.626,5.534,,6.562,,3.69,2.526,2.781,,6.283,6.193,6.16,6.152,6.117,6.091,,6.024,6.017,,,5.983,5.949,5.916,5.902,5.898,5.754,5.688,5.639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawlhalla Winter Championship 2020 SA 1v1 - 2/23/2020 - 62 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place,1,2,4,3,5,5,9,9,7,7,9,9,13,25,13,13,17,17,33,17,33,17,13,25,49,,,,,25,25,65,17,17,97,97,33,33,17,17,,33,25,25,25,25,65,33,65,33,33,49,65,33,49,33,65,33,49,65,,,49,33,,33,33,49,33,,129,65,49,65,49,97,65,,65,65,33,97,,,,49,49,49,,49,49,65,97,,,,,,49,65,65,,,49,,,,,97,97,65,49,65,65,97,,97,65,,,,,65,65,,,97,,65,65,97,65,,,97,129,97,,65,,,97,65,,65,97,129,129,129,97,,,97,129,129,,97,,97,,65,,,,,,,,65,,,,97,,97,129,,129,129,,,,,,,97,,,129,97,,,,,,,,
Points from place,110,80,60,70,50,50,28,28,40,40,28,28,24,16,24,24,20,20,4,20,4,20,24,16,4,,,,,16,16,2,20,20,2,2,4,4,20,20,,4,16,16,16,16,2,4,2,4,4,4,2,4,4,4,2,4,4,2,,,4,4,,4,4,4,4,,1,2,4,2,4,2,2,,2,2,4,2,,,,4,4,4,,4,4,2,2,,,,,,4,2,2,,,4,,,,,2,2,2,4,2,2,2,,2,2,,,,,2,2,,,2,,2,2,2,2,,,2,1,2,,2,,,2,2,,2,2,1,1,1,2,,,2,1,1,,2,,2,,2,,,,,,,,2,,,,2,,2,1,,1,1,,,,,,,2,,,1,2,,,,,,,,
Wins (opponent seed),[3 3 5],[5 6 7],[2 10 14],[2 4 7],[13 15 22],[4 10 11],[9 25 121],[9 16 28],[8 15 20],[6 12 20],[13 29 61],[11 27 59],[29 56 88],[32 113 160],[18 27 31],[18 21 53],[17 112 176],[18 32 95],[59 166 171],[23 24 25],[44 108 236],[23 24 90],[22 31 75],[25 88 152],[29 45 100],,,,,[30 35 78],[19 62 99],[104 232],[30 52 61],[17 31 50],[220 245],[89 248],[83 147 238],[18 98 226],[19 29 157],[21 38 155],,[24 24 169],[42 87 90],[32 80 161],[21 60 117],[28 53 133],[109 125 212],[20 77 164],[28 197],[92 156 229],[106 202 215],[57 72 73],[112 192 209],[104 121 152],[58 138 218],[20 45 173],[39 154 183],[23 87 215],[37 44 156],[109 237],,,[179 206 211],[30 99 222],,[64 96 113],[160 161 225],[67 195 206],[91 155 214],,[94],[67 131 174],[66 79 143],[132 189 237],[33 65 144],[205 228],[74 202],,[23 71],[54 139 219],[82 111 239],[148 196],,,,[56 72 136],[52 68 180],[70 75 123],,[70 118 198],[55 71 122],[63 127 210],[185 233],,,,,,[80 97 144],[51 142 227],[21 204],,,[47 175 242],,,,,[124 213],[110 195],[43 171],[92 172 188],[81 209],[39 167],[48 129],,[89 120],[47 146 194],,,,,[73 201],[19 174],,,[93 244],,[30 158],[64 128 240],[43 134],[184 217 232],,,[140 220],[146],[57 105],,[86 134 198],,,[74 103],[54 182],,[63 191],[48 129],[137],[126],[180],[49 225],,,[50 159],[145],[115],,[115 222],,[51 227],,[153 168 201],,,,,,,,[192 193],,,,[102 203],,[108 197],[167],,[97],[136],,,,,,,[107 187],,,[93],[125 212],,,,,,,,
Points from wins,23.898 [8.239+8.239+7.42],21.429 [7.42+7.128+6.881],20.967 [8.889+6.309+5.77],23.547 [8.889+7.778+6.881],16.592 [5.888+5.659+5.045],20.243 [7.778+6.309+6.156],13.63 [6.478+4.84+2.312],16.692 [6.478+5.556+4.658],17.524 [6.667+5.659+5.198],18.342 [7.128+6.017+5.198],13.901 [5.888+4.602+3.41],14.337 [6.156+4.717+3.464],10.972 [4.602+3.547+2.823],8.731 [4.444+2.422+1.865],14.579 [5.367+4.717+4.495],14.122 [5.367+5.12+3.636],9.606 [5.458+2.436+1.712],12.511 [5.367+4.444+2.7],7.027 [3.464+1.806+1.758],14.72 [4.974+4.906+4.84],7.67 [3.934+2.495+1.242],12.666 [4.974+4.906+2.787],12.62 [5.045+4.495+3.079],9.61 [4.84+2.823+1.947],11.118 [4.602+3.898+2.618],,,,,11.865 [4.548+4.301+3.016],11.298 [5.28+3.384+2.634],3.824 [2.555+1.269],11.624 [4.548+3.666+3.41],13.683 [5.458+4.495+3.729],2.536 [1.354+1.182],3.967 [2.805+1.162],6.145 [2.917+2+1.228],9.328 [5.367+2.65+1.311],11.777 [5.28+4.602+1.895],11.204 [5.12+4.169+1.915],,11.588 [4.906+4.906+1.777],9.637 [4.009+2.841+2.787],9.275 [4.444+2.976+1.855],10.923 [5.12+3.437+2.366],10.455 [4.658+3.636+2.161],6.153 [2.48+2.26+1.413],10.06 [5.198+3.037+1.825],6.19 [4.658+1.531],5.946 [2.752+1.905+1.29],5.406 [2.525+1.491+1.391],9.786 [3.519+3.145+3.122],5.445 [2.436+1.572+1.436],6.814 [2.555+2.312+1.947],6.961 [3.491+2.102+1.369],10.835 [5.198+3.898+1.739],7.702 [4.127+1.926+1.649],9.206 [4.974+2.841+1.391],10.051 [4.212+3.934+1.905],3.715 [2.48+1.235],,,4.565 [1.685+1.459+1.421],8.521 [4.548+2.634+1.34],,8.439 [3.333+2.683+2.422],5.037 [1.865+1.855+1.318],6.267 [3.26+1.547+1.459],6.083 [2.769+1.915+1.398],,2.717,7.175 [3.26+2.185+1.73],8.324 [3.284+2.996+2.045],5.005 [2.173+1.598+1.235],9.737 [4.395+3.308+2.033],2.764 [1.467+1.297],4.591 [3.101+1.491],,8.141 [4.974+3.167],7.057 [3.606+2.09+1.361],6.608 [2.936+2.451+1.221],3.529 [1.989+1.539],,,,8.817 [3.547+3.145+2.125],8.578 [3.666+3.236+1.676],8.555 [3.19+3.079+2.286],,7.065 [3.19+2.353+1.523],9.042 [3.576+3.167+2.299],7.022 [3.359+2.235+1.429],2.894 [1.632+1.262],,,,,,7.676 [2.976+2.667+2.033],7.057 [3.697+2.056+1.304],6.595 [5.12+1.475],,,6.75 [3.828+1.721+1.201],,,,,3.679 [2.273+1.406],4.013 [2.465+1.547],5.729 [3.971+1.758],6.106 [2.752+1.749+1.606],4.392 [2.956+1.436],5.923 [4.127+1.796],6.004 [3.794+2.21],,5.13 [2.805+2.326],7.395 [3.828+2.011+1.556],,,,,4.621 [3.122+1.499],7.01 [5.28+1.73],,,3.922 [2.734+1.188],,6.433 [4.548+1.885],6.77 [3.333+2.222+1.215],6.12 [3.971+2.149],4.285 [1.64+1.376+1.269],,,3.433 [2.079+1.354],2.011,6.059 [3.519+2.54],,6.531 [2.86+2.149+1.523],,,5.671 [3.101+2.571],5.264 [3.606+1.658],,4.939 [3.359+1.581],6.004 [3.794+2.21],2.113,2.247,1.676,5.079 [3.761+1.318],,,5.604 [3.729+1.875],2.022,2.394,,3.733 [2.394+1.34],,5.001 [3.697+1.304],,5.221 [1.936+1.786+1.499],,,,,,,,3.136 [1.572+1.564],,,,4.069 [2.586+1.483],,4.026 [2.495+1.531],1.796,,2.667,2.125,,,,,,,4.124 [2.509+1.615],,,2.734,3.674 [2.26+1.413],,,,,,,,
Losses (opponent place),[],[1 1],[3 2],[2 1],[4 3],[2 4],[7 1],[13 5],[4 5],[9 5],[5 3],[2 7],[9 9],[25 17],[7 5],[7 3],[9 1],[33 13],[9 17],[9 7],[25 13],[4 5],[9 5],[33 17],[17 17],,,,,[33 17],[65 17],[25 17],[7 7],[13 13],[49 65],[65 17],[25 5],[17 5],[9 13],[9 13],,[25 13],[65 17],[17 17],[65 17],[65 9],[49 33],[17 49],[25 3],[25 3],[17 33],[25 9],[33 65],[17 33],[25 7],[17 7],[33 65],[25 7],[25 65],[33 33],,,[25 5],[25 2],,[25 33],[25 1],[25 2],[17 33],,[97 33],[49 25],[17 13],[49 65],[33 25],[17 49],[49 7],,[49 4],[49 13],[17 13],[65 65],,,,[33 9],[33 7],[33 9],,[33 9],[33 33],[17 5],[49 49],,,,,,[25 33],[49 49],[25 13],,,[17 33],,,,,[25 3],[25 33],[33 9],[25 97],[49 17],[25 17],[65 1],,[65 17],[17 33],,,,,[49 13],[25 33],,,[33 17],,[25 33],[25 65],[49 9],[49 65],,,[25 13],[97 33],[25 33],,[33 65],,,[49 17],[49 13],,[49 5],[65 65],[97 13],[65 2],[33 97],[49 25],,,[65 33],[65 17],[25 5],,[65 5],,[25 65],,[33 65],,,,,,,,[49 1],,,,[33 17],,[49 25],[49 97],,[97 33],[25 9],,,,,,,[65 49],,,[17 17],[65 9],,,,,,,,
